Play dashtm 	| Springs from Sonic universe (gota bunce high In LOLCAT (Gotta Bounce High))
Play dashtm 	| Goombas from Mario universe (a brawn shrum In LOLCAT (A Brown Shroom))
Play dashtm 	| Waddle Dee from Kirby universe (raddish dud In LOLCAT (Reddish Dude))
HyperMan19680 	| Samus costume
HyperMan19680 	| Zelda costume
Pixelcraftian 	| Cat Suit - Walk up Walls (Does not require R)
Pixelcraftian 	| Fire Suit - Press R to throw a fireball, inflicts 2 damage and sets the opponent on fire.
Pixelcraftian 	| Ice Suit - Works the same as fire but inflicts 3 damage and freezes the opponent instead.
Pixelcraftian 	| Propellor Suit - Press R to spin up into the skies!
Pixelcraftian 	| Blue Shell (powerup) - Pressing the crouch button will instead put you in your shell, dashing and then pressing the crouch button makes you spin around (You will only see straight ahead though) otherwise it's just how it is in NSMB.
Pixelcraftian 	| Vanish Cap - Only makes you half invisible to other players, can only be fully invisible when pressed R but only keeps that for about 10 seconds and takes 10 seconds to recharge
Pixelcraftian 	| Mystery Mushroom - Just makes you have a different skin, related to Mubble though.
Pixelcraftian 	| Cloud Flower - When pressing R, you can make cloud blocks appear under you for a limited time.
Pixelcraftian 	| Power Star - Makes you invincible and can one-hit kill any NPC/enemy/player.
Pixelcraftian 	| Wing (SMB Special) - Can swim in the air for 20 seconds, don't need air.
Hugman 			| Bismuth Ore (Rainbow)
Hugman 			| Rainbow Road Blocks
Hugman 			| The Legend of Zelda Blocks
Hugman 			| Kirby and Kirby Blocks
Hugman 			| Splatoon Blocks
Hugman 			| Omega TNT
Hugman 			| Nyan Cat
Hugman 			| Bonneton White/Gray/Black Grass, Bonneton Fences
